frame,time_s,faces,emotions,activity,motion_score,motion_z,anomaly
247,8.233,1,happy,parado,0.024933,-0.8249,0
248,8.267,1,happy,movimento,8.063779,0.1797,0
249,8.3,1,happy,parado,5.606718,-0.1367,0
250,8.333,1,happy,movimento,6.992983,0.0323,0
251,8.367,1,happy,parado,6.765004,-0.0037,0
252,8.4,1,happy,movimento,8.217997,0.1725,0
253,8.433,1,happy,parado,5.532697,-0.1763,0
254,8.467,1,happy,parado,0.133174,-0.8675,0
255,8.5,1,happy,parado,5.291115,-0.2119,0
256,8.533,1,happy,parado,4.835908,-0.2755,0
257,8.567,1,happy,parado,4.041348,-0.382,0
258,8.6,1,happy,parado,4.050939,-0.3852,0
259,8.633,1,happy,parado,0.066325,-0.8958,0
260,8.667,1,happy,parado,3.810526,-0.4202,0
261,8.7,1,happy,parado,4.049715,-0.3945,0
262,8.733,1,happy,parado,4.272771,-0.3714,0
263,8.767,1,happy,parado,4.890332,-0.2977,0
264,8.8,1,happy,parado,6.350724,-0.115,0
265,8.833,1,happy,parado,3.908163,-0.4388,0
266,8.867,1,happy,parado,0.133045,-0.9335,0
267,8.9,1,happy,parado,3.977968,-0.4339,0
268,8.933,1,happy,parado,3.919806,-0.446,0
269,8.967,1,happy,parado,4.716673,-0.3472,0
270,9.0,1,happy,parado,4.341254,-0.403,0
271,9.033,1,happy,parado,3.286738,-0.8628,0
272,9.067,1,happy,parado,0.183682,-1.6573,0
273,9.1,1,happy,parado,2.411949,-1.0633,0
274,9.133,1,happy,parado,3.845264,-0.68,0
275,9.167,1,happy,parado,4.586915,-0.4708,0
276,9.2,1,happy,parado,3.279111,-0.7999,0
277,9.233,1,happy,parado,0.039166,-1.637,0
278,9.267,1,happy,parado,2.527517,-0.9815,0
279,9.3,1,happy,parado,4.011899,-0.5607,0
280,9.333,1,happy,parado,4.298303,-0.4653,0
281,9.367,1,happy,parado,5.639017,-0.0792,0
282,9.4,1,happy,parado,3.288518,-0.7212,0
283,9.433,1,happy,parado,2.254,-0.9914,0
284,9.467,1,happy,parado,0.07483,-1.6094,0
285,9.5,1,happy,parado,2.242778,-0.9772,0
286,9.533,1,happy,parado,2.433223,-0.9027,0
287,9.567,1,happy,parado,3.091937,-0.6947,0
288,9.6,1,happy,parado,3.708828,-0.498,0
289,9.633,1,happy,parado,0.099364,-1.5663,0
290,9.667,1,happy,parado,4.018069,-0.3922,0
291,9.7,1,happy,parado,4.241053,-0.3126,0
292,9.733,1,happy,movimento,5.516706,0.0823,0
293,9.767,1,happy,parado,4.623261,-0.1712,0
294,9.8,1,happy,parado,4.862387,-0.088,0
295,9.833,1,happy,parado,4.994656,-0.0653,0
296,9.867,1,happy,parado,0.102234,-1.5441,0
297,9.9,1,happy,movimento,5.273098,0.0586,0
298,9.933,1,happy,parado,4.931483,-0.0369,0
299,9.967,1,happy,movimento,5.18693,0.0468,0
300,10.0,1,happy,movimento,6.075262,0.3333,0
301,10.033,1,happy,movimento,6.059905,0.3519,0
302,10.067,1,happy,parado,0.07417,-1.5575,0
303,10.1,1,happy,movimento,6.070487,0.3753,0
304,10.133,1,happy,movimento,7.101386,0.7084,0
305,10.167,1,happy,movimento,6.378891,0.4844,0
306,10.2,1,happy,parado,3.801223,-0.3403,0
307,10.233,1,happy,parado,0.03334,-1.5522,0
308,10.267,1,happy,parado,4.497999,-0.0895,0
309,10.3,1,happy,movimento,5.047503,0.1289,0
310,10.333,1,happy,parado,4.31231,-0.0975,0
311,10.367,1,happy,movimento,4.534328,0.0206,0
312,10.4,1,happy,movimento,4.650109,0.0979,0
